Division,Conference,Season,Top_N,Event,Gender,#,Athlete,Year,Team,Mark,Conv,Meet,Meet Date,Wind
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,17,"Lawrence, Olive",SR-4,Middlebury,5.35m,"17' 6.75""",NESCAC Championship,4/25/26,1.6
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,17,"Lewis, Eleanor",FR-1,Tufts,5.35m,"17' 6.75""",NESCAC Championship,4/25/26,1.5
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,20,"Smith, Leah",JR-3,Amherst,5.34m,"17' 6.25""",NESCAC Championship,4/25/26,1.3
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,1,"Burr, Emma",JR-3,Thomas College,5.86m,"19' 2.75""",Maine States' Pine Tree Classic,4/17/26,2.2
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,2,"Anderson, Kara",SO-2,Thomas College,5.25m,"17' 2.75""",Maine States' Pine Tree Classic,4/17/26,1.4
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,3,"Monreal, Natasha",SO-2,Husson,5.14m,"16' 10.5""",University of Maine Spring Opener,4/4/26,0
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,4,"Perry, Niamiah",SR-4,Husson,5.12m,"16' 9.75""",Maine States' Pine Tree Classic,4/17/26,2.1
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,5,"Yahya, Naba",FR-1,Thomas College,5.04m,"16' 6.5""",Monks Track & Field Invite 2026,4/11/26,0.5
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,6,"Madden, Mya",FR-1,Husson,4.83m,"15' 10.25""",University of Maine Spring Opener,4/4/26,1.4
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,7,"Pierce, Sadie",FR-1,Maine-Farmington,4.78m,"15' 8.25""",Springfield College Outdoor Classic,4/4/26,2.2
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,8,"Williams, JaLynn",FR-1,Husson,4.76m,"15' 7.5""",Yellow Jacket Open,3/28/26,-0.4
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,9,"Alexander, Heather",FR-1,Maine-Farmington,4.65m,"15' 3.25""",SILFEN INVITATIONAL 2026,4/10/26,1.3
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,10,"Syphers, Emma",SO-2,Maine-Farmington,4.64m,"15' 2.75""",Alan Connie Shamrock Invitational (Roster Registration),3/19/26,-0.9
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,11,"Andrews, Brianna",SO-2,Husson,4.49m,"14' 8.75""",Embry-Riddle Eagle Invite,3/7/26,-1.7
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,12,"Campbell, Solece",FR-1,Thomas College,4.31m,"14' 1.75""",Maine States' Pine Tree Classic,4/17/26,5.7
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,13,"Lutz, Jenney",FR-1,Maine-Farmington,4.29m,"14' 1""",Monks Track & Field Invite 2026,4/11/26,2.2
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,14,"Eldred, Brienne",FR-1,Thomas College,4.01m,"13' 2""",Maine States' Pine Tree Classic,4/17/26,3
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,15,"Bridges, Maddy",FR-1,Maine-Presque Isle,3.88m,"12' 8.75""",Maine States' Pine Tree Classic,4/17/26,1.7
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,16,"Anspach, Jade",FR-1,Maine-Presque Isle,3.52m,"11' 6.75""",University of Maine Spring Opener,4/4/26,1.1
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,17,"Byers, Emma",FR-1,Maine-Presque Isle,3.48m,"11' 5""",Maine States' Pine Tree Classic,4/17/26,1.5
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,1,"Burr, Emma",JR-3,Thomas College,5.86m,"19' 2.75""",Maine States' Pine Tree Classic,4/17/26,2.2
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,2,"Anderson, Kara",SO-2,Thomas College,5.25m,"17' 2.75""",Maine States' Pine Tree Classic,4/17/26,1.4
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,3,"Monreal, Natasha",SO-2,Husson,5.14m,"16' 10.5""",University of Maine Spring Opener,4/4/26,0
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,4,"Perry, Niamiah",SR-4,Husson,5.12m,"16' 9.75""",Maine States' Pine Tree Classic,4/17/26,2.1
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,5,"Yahya, Naba",FR-1,Thomas College,5.04m,"16' 6.5""",Monks Track & Field Invite 2026,4/11/26,0.5
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,6,"Madden, Mya",FR-1,Husson,4.83m,"15' 10.25""",University of Maine Spring Opener,4/4/26,1.4
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,7,"Pierce, Sadie",FR-1,Maine-Farmington,4.78m,"15' 8.25""",Springfield College Outdoor Classic,4/4/26,2.2
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,8,"Williams, JaLynn",FR-1,Husson,4.76m,"15' 7.5""",Yellow Jacket Open,3/28/26,-0.4
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,9,"Alexander, Heather",FR-1,Maine-Farmington,4.65m,"15' 3.25""",SILFEN INVITATIONAL 2026,4/10/26,1.3
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,10,"Syphers, Emma",SO-2,Maine-Farmington,4.64m,"15' 2.75""",Alan Connie Shamrock Invitational (Roster Registration),3/19/26,-0.9
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,11,"Andrews, Brianna",SO-2,Husson,4.49m,"14' 8.75""",Embry-Riddle Eagle Invite,3/7/26,-1.7
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,12,"Campbell, Solece",FR-1,Thomas College,4.31m,"14' 1.75""",Maine States' Pine Tree Classic,4/17/26,5.7
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,13,"Lutz, Jenney",FR-1,Maine-Farmington,4.29m,"14' 1""",Monks Track & Field Invite 2026,4/11/26,2.2
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,14,"Eldred, Brienne",FR-1,Thomas College,4.01m,"13' 2""",Maine States' Pine Tree Classic,4/17/26,3
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,15,"Bridges, Maddy",FR-1,Maine-Presque Isle,3.88m,"12' 8.75""",Maine States' Pine Tree Classic,4/17/26,1.7
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,16,"Anspach, Jade",FR-1,Maine-Presque Isle,3.52m,"11' 6.75""",University of Maine Spring Opener,4/4/26,1.1
NCAA Div. III,North Atlantic Conference,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,17,"Byers, Emma",FR-1,Maine-Presque Isle,3.48m,"11' 5""",Maine States' Pine Tree Classic,4/17/26,1.5
